date,day,total_view,onesided_follower_view,interact_follower_view,not_follower_view
2024-01-27,토,354,19,21,314
2024-01-26,금,371,18,6,347
2024-01-25,목,412,31,3,378
2024-01-24,수,681,98,27,556
2024-01-23,화,417,26,23,368
2024-01-22,월,443,91,13,339
2024-01-21,일,668,114,74,480
2024-01-20,토,410,47,22,341
2024-01-19,금,360,28,4,328
2024-01-18,목,408,65,21,322
2024-01-17,수,338,70,9,259
2024-01-16,화,459,65,20,374
2024-01-15,월,436,49,17,370
2024-01-14,일,389,33,10,346
2024-01-13,토,281,44,36,201
2024-01-12,금,401,63,50,288
2024-01-11,목,425,17,24,384
2024-01-10,수,408,30,25,353
2024-01-09,화,380,68,21,291
2024-01-08,월,402,66,24,312
2024-01-07,일,420,29,22,369
2024-01-06,토,261,20,25,216
2024-01-05,금,272,23,5,244
2024-01-04,목,368,35,16,317
2024-01-03,수,494,40,20,434
2024-01-02,화,527,75,37,415
2024-01-01,월,371,55,34,282
2023-12-31,일,312,38,15,259
2023-12-30,토,299,60,37,202
2023-12-29,금,404,16,1,387
2023-12-28,목,694,35,7,652
2023-12-27,수,715,11,13,691
2023-12-26,화,914,56,11,847
2023-12-25,월,546,36,15,495
2023-12-24,일,475,85,50,340
2023-12-23,토,319,33,40,246
2023-12-22,금,709,83,20,606
2023-12-21,목,956,101,40,815
2023-12-20,수,964,50,11,903
2023-12-19,화,511,51,13,447
2023-12-18,월,880,81,52,747
2023-12-17,일,429,29,11,389
2023-12-16,토,318,37,22,259
2023-12-15,금,508,52,31,425
2023-12-14,목,491,7,13,471
2023-12-13,수,494,60,41,393
2023-12-12,화,385,22,31,332
2023-12-11,월,348,22,12,314
2023-12-10,일,195,35,24,136
2023-12-09,토,141,42,18,81
2023-12-08,금,216,13,31,172
2023-12-07,목,194,40,8,146
2023-12-06,수,185,9,27,149
2023-12-05,화,295,34,27,234
2023-12-04,월,328,45,14,269
2023-12-03,일,372,91,27,254
2023-12-02,토,509,90,19,400
2023-12-01,금,224,14,1,209
2023-11-30,목,188,3,0,185
2023-11-29,수,304,15,0,289
2023-11-28,화,266,15,3,248
2023-11-27,월,320,45,1,274
2023-11-26,일,247,29,6,212
2023-11-25,토,199,36,2,161
2023-11-24,금,339,39,3,297
2023-11-23,목,210,10,6,194
2023-11-22,수,290,33,2,255
2023-11-21,화,243,61,5,177
2023-11-20,월,211,8,1,202
2023-11-19,일,151,18,0,133
2023-11-18,토,141,16,1,124
2023-11-17,금,193,15,21,157
2023-11-16,목,66,0,0,66
2023-11-15,수,106,10,0,96
2023-11-14,화,139,1,0,138
2023-11-13,월,141,6,1,134
2023-11-12,일,104,12,0,92
2023-11-11,토,62,6,2,54
2023-11-10,금,132,5,4,123
2023-11-09,목,89,7,1,81
2023-11-08,수,70,0,0,70
2023-11-07,화,69,21,2,46
2023-11-06,월,81,0,0,81
2023-11-05,일,40,0,0,40
2023-11-04,토,31,0,0,31
2023-11-03,금,48,0,0,48
2023-11-02,목,59,0,3,56
2023-11-01,수,74,0,1,73
2023-10-31,화,65,0,1,64
2023-10-30,월,46,0,1,45
,,,,,
